DayOfMonth,Person,ContentName,ContentUrl,SecondaryUrl,SecondaryLabel
1,Matt Goldman,Flagstone UI,/posts/flagstone,,
2,Matt Goldman,Make your Icons Stand Out,/posts/install-funnel-part-1-icons,,
3,Available,,,,
4,Matthew Robbins,TBC,,,
5,Available,,,,
6,Nick Kovalsky,Recycled Cells with DrawnUI,https://taublast.github.io/posts/RecycledCells/,,
7,Available,,,,
8,Available,,,,
9,David Ortinau,Build the tools you need,https://dev.to/davidortinau/build-the-tools-you-need-4ji0,,
10,Thomas Sebastian Jensen,Building a Seven-Segment Display Control,https://medium.com/@tsjdevapps/building-a-seven-segment-display-control-with-net-maui-and-skiasharp-739adf1ca8d9,,
11,Available,,,,
12,Available,,,,
13,Available,,,,
14,Available,,,,
15,Mark Allibone,"From developer art to good looking apps - an AI design skill for .NET MAUI",https://mallibone.com/post/maui-ai-design-skill,,
16,Vladislav Antonyuk,Building a Zero Allocation Dashboard with SkiaSharp and Community Toolkit MAUI Markup,https://vladislavantonyuk.github.io/articles/Building-a-Zero-Allocation-Dashboard-with-SkiaSharp-and-Community-Toolkit-MAUI-Markup/,,
17,Available,,,,
18,Available,,,,
19,Isaac Zimba,Capture Clarity: Building MinuteMind, an Offline-First Meeting Assistant in .NET MAUI,,
20,Héctor Uriel Pérez Rojas,.NET MAUI CameraView 📺,https://www.youtube.com/watch?v=1BhpTXZKPbY,,
21,Shaun Lawrence,SVG to Interactive Map,https://blog.bijington.com/2026/07/21/svg-to-interactive-map.html,,
22,Nick Alonge,TBD,,,
23,Tony Edwards,A quick guide to c# expressions in .net MAUI.,https://tonyedwardspz.co.uk/blog/c-sharp-expressions-in-xaml/,,
24,Allan Ritchie,Giving your .NET MAUI a real set of AI Wings,https://allanritchie.com/blog/2026/07/maui-ai-wings/,,
25,"Mark Laureta","Flyouts, Tabs, and Popups in One .NET MAUI App",https://mr5z.github.io/mr5z/posts/touring-food-delivery-app.html,,
26,"Luis Beltran",TBC,,,
27,Allan Ritchie,"Faces, Voices & Documents — On-Device Recognition Controls for .NET MAUI",https://allanritchie.com/blog/2026/07/recognition-intelligence/,,
28,Gulam Ali Hakim,TBC,,,
29,"Prateek Mahendrakar",Bringing SwiftUI Picker into .NET MAUI,https://pmahend1.github.io/Native-Picker-Maui/,,
30,Stephen Moreton-Howell,The Road To Wordy Blob 1 of 3,https://philotalk.com/the-road-to-wordy-blob-1-of-3,,
31,Melissa Webster,TBC,,,
